,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
104,0,0.742069140019922,0.746,0.379,0,0,Rubcn
105,0,0.737164952014969,0.851,0.553,0,0,Dnm1l
106,0,0.737037711718376,0.893,0.57,0,0,Ilrun
107,0,0.732378764496369,0.883,0.575,0,0,Kdm2b
108,0,0.732333611665608,0.904,0.627,0,0,Zfp36
109,0,0.728733470457344,0.94,0.617,0,0,Flt3
110,0,0.727966828265294,0.8,0.468,0,0,Zfp809
111,2.1186416845596e-285,0.726770236966568,0.593,0.287,4.93389275500239e-281,0,Mmd
112,0,0.725995748068114,0.864,0.497,0,0,Ssh1
113,0,0.721179178767359,0.683,0.319,0,0,Tnfrsf9
114,0,0.717931304433075,0.751,0.377,0,0,Castor2
115,0,0.714950854147837,0.555,0.229,0,0,Ulbp1
116,0,0.700685696539866,0.498,0.152,0,0,Gpr55
117,4.5327297695133e-298,0.698576932444902,0.698,0.36,1.05558210872426e-293,0,Gm10851
118,1.26030122595899e-257,0.695621030837925,0.486,0.192,2.9349894950133e-253,0,Ndnf
119,1.39363300991303e-222,0.688648095411035,0.826,0.606,3.24549255348547e-218,0,Sik2
120,0,0.686949232556125,0.97,0.79,0,0,Traf3
121,5.17903310555449e-164,0.685227388784185,0.706,0.555,1.20609322962153e-159,0,Gtdc1
122,0,0.681690308090586,0.706,0.359,0,0,Asap2
123,6.66587600254349e-301,0.679153157942386,0.803,0.537,1.55234920347233e-296,0,Sgpl1
124,0,0.676593128950476,0.801,0.473,0,0,Arl4c
125,1.20811673005464e-149,0.669268730368749,0.568,0.344,2.81346224095125e-145,0,Pbx3
126,7.6796585067931e-292,0.66655313778268,0.561,0.255,1.78843887306198e-287,0,Cyth3
127,8.98826946378744e-305,0.662737640952778,0.654,0.327,2.09318819272682e-300,0,Ntng2
128,9.06703853832477e-239,0.662357626664349,0.704,0.411,2.11153193480507e-234,0,Camkmt
129,0,0.659982006159683,0.996,0.871,0,0,Rab21
130,1.24449864897387e-299,0.652395476398746,0.651,0.347,2.89818845373034e-295,0,Lysmd4
131,0,0.650940961743405,0.96,0.789,0,0,Arhgap30
132,1.88346555652129e-309,0.649010151923202,0.312,0.064,4.38621458802678e-305,0,Gm12610
133,1.61941099948521e-262,0.640871262363233,0.825,0.587,3.77128433560117e-258,0,Rnf169
134,0,0.629582545145091,0.997,0.941,0,0,Cd47
135,0,0.627968770383801,0.455,0.115,0,0,Rasgrf1
136,7.60997749236497e-281,0.613456193936918,0.858,0.605,1.77221155842195e-276,0,Plekha1
137,2.15358261200159e-214,0.612504674756575,0.756,0.522,5.01526318682931e-210,0,Mapre2
138,4.17591163043089e-233,0.610009894046267,0.658,0.394,9.72486300494746e-229,0,Mrtfb
139,1.13531390134666e-249,0.609826633778451,0.237,0.043,2.6439190134561e-245,0,Gm49455
140,1.00276797338396e-271,0.591448538887221,0.836,0.586,2.33524605641657e-267,0,Dnajc5
141,5.1209117691494e-228,0.587793548951588,0.839,0.623,1.19255793279951e-223,0,Mapkap1
142,3.46964801680877e-293,0.585415251551466,0.98,0.849,8.08011630154426e-289,0,Samhd1
143,0,3.80981619701395,0.622,0.053,0,1,Lingo2
144,0,3.69321389064428,0.964,0.09,0,1,Cntn1
145,0,3.14652820932611,0.732,0.063,0,1,Mapk10
146,0,3.09198729258076,0.968,0.128,0,1,Clnk
147,0,3.06031179305034,0.985,0.111,0,1,Il18r1
148,0,2.97847205117997,0.968,0.161,0,1,Bcl2
149,0,2.93042665158322,0.948,0.104,0,1,Tox
150,0,2.83313421892853,0.873,0.096,0,1,Il23r
151,0,2.81737980001418,0.934,0.19,0,1,Odc1
152,0,2.78657047547678,0.974,0.236,0,1,S100a10
153,0,2.69911124134652,0.968,0.245,0,1,Plcb4
154,0,2.69570066573468,0.999,0.587,0,1,Il7r
155,0,2.68562234436186,0.996,0.396,0,1,Ltb
156,0,2.65012976948344,0.933,0.192,0,1,Rora
157,0,2.54289324797852,0.986,0.369,0,1,St6galnac3
158,0,2.53023547993422,0.957,0.099,0,1,Klrb1b
159,0,2.47032071308708,0.943,0.448,0,1,Lmo4
160,0,2.38109702511261,0.85,0.082,0,1,Nrgn
161,0,2.35497287829994,0.987,0.373,0,1,Shisa5
162,0,2.35312232476722,0.971,0.288,0,1,Emb
163,0,2.3421762644658,0.896,0.262,0,1,Igf1r
164,0,2.3166043263557,0.884,0.147,0,1,March3
165,0,2.28110071327807,0.934,0.226,0,1,Tnik
166,0,2.26531248266542,0.997,0.398,0,1,Ly6e
167,0,2.22715342328778,0.693,0.066,0,1,Zmat4
168,0,2.21277376561307,0.913,0.223,0,1,Cd82
169,0,2.19248938375729,0.67,0.057,0,1,Fam184b
170,0,2.16082872580102,0.997,0.88,0,1,Tmsb10
171,0,2.15278059345407,0.881,0.245,0,1,Sdc4
172,0,2.05436919847475,0.761,0.085,0,1,Nebl
173,0,2.01493349069849,0.855,0.386,0,1,Ern1
174,0,2.00506494775826,0.742,0.078,0,1,Adam12
175,0,1.99599176592607,0.59,0.067,0,1,Trbc2
176,0,1.95672886560754,0.857,0.312,0,1,Sptssa
177,0,1.93356761213263,0.893,0.239,0,1,Ckb
178,0,1.91233553723504,0.753,0.085,0,1,Arhgef28
179,0,1.88825400545183,0.743,0.108,0,1,Klrb1f
180,0,1.82778628857603,0.637,0.077,0,1,Ttn
181,0,1.82131380249613,0.764,0.141,0,1,Znrf3
182,0,1.82051975959811,0.899,0.444,0,1,Znrf1
183,0,1.81742436441993,0.968,0.653,0,1,Ncoa7
184,0,1.81474862679047,0.696,0.06,0,1,Il1r1
185,0,1.81381745062292,0.66,0.104,0,1,Rasl11a
186,0,1.79679682950401,0.627,0.139,0,1,Cd4
187,0,1.75675346442227,0.791,0.107,0,1,Gimap1
188,0,1.73950755610036,0.958,0.714,0,1,Sppl2a
189,0,1.73080544460846,0.932,0.624,0,1,Tm9sf2
190,0,1.73047973394049,0.758,0.172,0,1,Ccr6
191,0,1.7238411563644,0.76,0.099,0,1,Gimap8
192,0,1.7102177382437,0.735,0.081,0,1,Cxcr6
193,0,1.70684807146904,0.628,0.049,0,1,Olfr60
194,0,1.70289796103777,0.408,0.044,0,1,Abi3bp
195,0,1.69468218467532,0.689,0.14,0,1,Il2ra
196,0,1.68120544424064,0.654,0.057,0,1,Psd2
197,0,1.67483778091046,0.449,0.07,0,1,Pde7b
198,0,1.65684119050346,0.644,0.068,0,1,Pxdc1
199,0,1.64836746156341,0.893,0.354,0,1,Mndal
200,0,1.64627478638325,0.842,0.321,0,1,Asb2
201,0,1.64196196690276,0.722,0.181,0,1,Ssbp2
202,0,1.62854195065054,0.989,0.837,0,1,Celf2
203,0,1.59833130999162,0.675,0.073,0,1,Itk
204,0,1.58535489461257,0.835,0.408,0,1,Mgat5
205,0,1.57062448563381,0.68,0.111,0,1,Maf
206,0,1.55900042049877,0.736,0.191,0,1,Ipcef1
207,0,1.52381050684347,0.711,0.221,0,1,Ramp1
208,0,1.51791991759207,0.652,0.118,0,1,Nrg2
209,0,1.50328638500157,0.577,0.052,0,1,Arnt2
210,0,1.4897693403481,0.856,0.335,0,1,Kit
211,0,1.47994438095633,0.739,0.23,0,1,Ms4a4c
212,0,1.4694525233785,0.598,0.053,0,1,Rorc
213,0,1.46080911984534,0.579,0.045,0,1,Dll1
214,0,1.46054278048431,0.931,0.619,0,1,Senp6
215,0,1.45999978838271,0.619,0.117,0,1,Plxdc2
216,0,1.45191176273576,0.792,0.335,0,1,Chst11
217,0,1.44416151229776,0.671,0.128,0,1,Tespa1
218,0,1.43089932655474,0.471,0.052,0,1,Camk4
219,0,1.42407637979816,0.552,0.082,0,1,Tiam2
220,0,1.42289778688929,0.82,0.411,0,1,Aak1
221,0,1.42071272782688,0.683,0.173,0,1,Wls
222,0,1.41221522270433,0.768,0.316,0,1,Runx3
223,0,1.41038098099809,0.821,0.32,0,1,Gng2
224,0,1.40470811123195,0.352,0.038,0,1,Gm31392
225,0,1.40280359921821,0.564,0.046,0,1,F2r
226,0,1.39626624964106,0.616,0.118,0,1,Slc6a13
227,0,1.39016303582493,0.386,0.048,0,1,Lta
228,0,1.38450747802007,0.669,0.142,0,1,Eef2k
229,0,1.37213949144271,0.881,0.52,0,1,Rbl2
230,0,1.35689972029983,0.747,0.282,0,1,Sept11
231,0,1.35626518613101,0.582,0.052,0,1,Cited4
232,0,1.35284248635616,0.51,0.039,0,1,Colgalt2
233,0,1.3383566416851,0.551,0.054,0,1,Eya2
234,0,1.33234414244347,0.761,0.26,0,1,Ifi203
235,0,1.33021020849576,0.425,0.04,0,1,Ccdc184
236,0,1.32339290292585,0.54,0.138,0,1,Nrp1
237,0,1.31916677005945,0.498,0.052,0,1,Piwil4
238,0,1.31560909744794,0.804,0.437,0,1,Smyd3
239,0,1.30506839880565,0.979,0.823,0,1,Ncor1
240,0,1.30452795260933,0.914,0.653,0,1,Utrn
241,0,1.29921398448215,0.634,0.215,0,1,Setbp1
242,0,1.29555535346807,0.542,0.147,0,1,Pkp4
243,0,1.29343118516943,0.644,0.226,0,1,Cldnd1
244,0,1.28861644336306,0.806,0.451,0,1,Clcn3
245,0,1.28646097216762,0.775,0.329,0,1,Evl
246,0,1.27457712714346,0.57,0.162,0,1,Gmds
247,0,1.27429497952668,0.384,0.029,0,1,8030451A03Rik
248,0,1.26550071261759,0.469,0.031,0,1,Prr29
249,0,1.26372694913809,0.836,0.361,0,1,Cd53
250,0,1.26238589212853,0.318,0.033,0,1,Arhgef26
251,0,1.25179028950479,0.537,0.113,0,1,Pip5k1b
252,0,1.25119011812603,0.802,0.508,0,1,Zc3h13
253,0,1.25067393563762,0.606,0.124,0,1,Rarg
254,0,1.24541828349676,0.905,0.711,0,1,Ahcyl2
255,0,1.24319392284563,0.902,0.575,0,1,Eml4
256,0,1.24003313367616,0.58,0.134,0,1,Smad3
257,0,1.23501127061792,0.673,0.313,0,1,Sesn1
258,0,1.23168390188072,0.446,0.054,0,1,Prrg1
