"","Symbol","vst.mean","vst.variance","vst.variance.expected","vst.variance.standardized","vst.variable","symbol.unique","prev.names"
"GM29374","Gm29374",0.000689995071463775,0.000689586951350528,0.000734170291442783,0.939273843395869,FALSE,"Gm29374","ENSMUSG00000099839"
"ECEL1","Ecel1",0.0090685066535239,0.012930372376565,0.0110505801051764,1.17010801727125,TRUE,"Ecel1","ENSMUSG00000026247"
"CHRNG","Chrng",0.000295712173484475,0.000295653870611154,0.0003007916145108,0.982919258211364,FALSE,"Chrng","ENSMUSG00000026253"
"EIF4E2","Eif4e2",0.1409561360276,0.159545812843116,0.198632297982162,0.803221905318959,FALSE,"Eif4e2","ENSMUSG00000026254"
"EFHD1","Efhd1",0.00206998521439133,0.00206590401325885,0.00234614148348629,0.880553891485257,FALSE,"Efhd1","ENSMUSG00000026255"
"GIGYF2","Gigyf2",0.418531296205027,0.58033479064604,0.738533974496687,0.785792950204559,FALSE,"Gigyf2","ENSMUSG00000048000"
"KCNJ13","Kcnj13",0.00128141941843273,0.00127990354372638,0.0014147155933766,0.904707313412402,FALSE,"Kcnj13","ENSMUSG00000079436"
"INPP5D","Inpp5d",0.772794480039428,1.44295063845539,1.62663306544818,0.887078142640437,FALSE,"Inpp5d","ENSMUSG00000026288"
"ATG16L1","Atg16l1",0.233415475603746,0.715622254906384,0.362476591828771,1.9742578446126,TRUE,"Atg16l1","ENSMUSG00000026289"
"SAG","Sag",0.0100542138984722,0.013897325530595,0.0122855623888481,1.13119164517938,TRUE,"Sag","ENSMUSG00000056055"
"DGKD","Dgkd",0.507934943321833,0.774212464221434,0.943335131544651,0.820718362257676,FALSE,"Dgkd","ENSMUSG00000070738"
"USP40","Usp40",0.0851651059635288,0.10611369759932,0.111503781574489,0.951660079155547,FALSE,"Usp40","ENSMUSG00000005501"
"UGT1A6A","Ugt1a6a",0.000689995071463775,0.000689586951350528,0.000734170291442783,0.939273843395869,FALSE,"Ugt1a6a","ENSMUSG00000054545"
"DNAJB3","Dnajb3",0.0003942828979793,0.000394166292232658,0.000406061054710227,0.970706960592276,FALSE,"Dnajb3","ENSMUSG00000081984"
"MROH2A","Mroh2a",0.00147856086742238,0.00187084203341765,0.00164394277658703,1.13802138375016,TRUE,"Mroh2a","ENSMUSG00000079429"
"HJURP","Hjurp",0.115130606209956,0.152358778780242,0.15675930995528,0.971928103177461,FALSE,"Hjurp","ENSMUSG00000044783"
"GLRP1","Glrp1",0.0007885657959586,0.000788021635807604,0.000846773021731865,0.930617314892602,FALSE,"Glrp1","ENSMUSG00000062310"
"ARL4C","Arl4c",0.111187777230163,0.181050885970465,0.150590212630342,1.2022752528738,TRUE,"Arl4c","ENSMUSG00000049866"
"SH3BP4","Sh3bp4",0.18324297683588,0.404411603515585,0.271774809250393,1.48803932428846,TRUE,"Sh3bp4","ENSMUSG00000036206"
"AGAP1","Agap1",0.835386890093642,1.97250553099929,1.8038352875435,1.09350645517389,TRUE,"Agap1","ENSMUSG00000055013"
