,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene_name
SLC25A1,1.12595256545611e-15,-0.332396884220399,0.045,0.272,1.93618803155832e-11,SLC25A1
NSUN2,1.16221576093311e-15,0.0388428570766718,0.082,0.215,1.99854622250058e-11,NSUN2
DCAF11,1.16908471618698e-15,0.0577064245060354,0.112,0.249,2.01035807795514e-11,DCAF11
DOCK9,1.17019751021055e-15,0.459912806875348,0.119,0.122,2.01227163855806e-11,DOCK9
RUBCN,1.18477966332788e-15,0.404489430984958,0.127,0.171,2.03734710905862e-11,RUBCN
NUS1,1.20108525488227e-15,0.232341676022255,0.067,0.131,2.06538620429555e-11,NUS1
BRAP,1.20882390083302e-15,0.592350057427265,0.104,0.103,2.07869357987246e-11,BRAP
NCAPH2,1.20948757179705e-15,-0.106990746201031,0.09,0.278,2.0798348284622e-11,NCAPH2
SNX13,1.22043599708508e-15,0.450738976592033,0.104,0.104,2.0986617405875e-11,SNX13
CFAP36,1.24135907919429e-15,-0.16322481034297,0.075,0.273,2.13464107258251e-11,CFAP36
ARRDC4,1.2670115072819e-15,0.394928505642877,0.112,0.15,2.17875298792195e-11,ARRDC4
KLHDC2,1.27364967441136e-15,-0.271799828368775,0.052,0.261,2.19016798011777e-11,KLHDC2
GARS,1.27686711624822e-15,-0.164496295290595,0.052,0.24,2.19570069310043e-11,GARS
WDR45B,1.29588979271089e-15,0.374023898340714,0.09,0.119,2.22841208754565e-11,WDR45B
ZBTB11,1.30112650482741e-15,0.472819755344188,0.127,0.127,2.23741713770121e-11,ZBTB11
PGD,1.30596262250081e-15,-0.0593347767795996,0.082,0.239,2.24573332565239e-11,PGD
DGKA,1.30903718386372e-15,0.430327606604323,0.112,0.131,2.25102034137206e-11,DGKA
BASP1,1.33851567803998e-15,0.222398614007787,0.612,0.83,2.30171155995755e-11,BASP1
POLD3,1.35618978968826e-15,0.116660407038735,0.09,0.205,2.33210396234792e-11,POLD3
RCOR3,1.37271477844847e-15,0.25086473019535,0.097,0.158,2.36052033301999e-11,RCOR3
LBR,1.37603211418378e-15,0.449400368729939,0.097,0.114,2.36622482355043e-11,LBR
RNASEH2B,1.38128691407677e-15,-0.292612066910981,0.052,0.267,2.37526097744641e-11,RNASEH2B
DOCK7,1.41122288321976e-15,0.256728148290239,0.052,0.101,2.42673886998471e-11,DOCK7
PRKDC,1.4177233166184e-15,0.574954103739949,0.127,0.108,2.43791701525701e-11,PRKDC
MRPL41,1.44201521531311e-15,-0.344794769864467,0.03,0.251,2.47968936425242e-11,MRPL41
HCLS1,1.45330428046459e-15,-0.436595861282329,0.075,0.343,2.4991020406869e-11,HCLS1
OXA1L,1.47807045720149e-15,-0.228911125996093,0.037,0.224,2.54168995820368e-11,OXA1L
RNF215,1.48255579967512e-15,0.267547983461755,0.082,0.117,2.54940295312133e-11,RNF215
YEATS4,1.48409031801747e-15,-0.313226849579917,0.045,0.268,2.55204171086284e-11,YEATS4
TEX264,1.50120640182573e-15,0.000608919343257741,0.082,0.215,2.58147452857952e-11,TEX264
SMARCC2,1.5082926043866e-15,-0.0279778846499806,0.09,0.253,2.59365996250319e-11,SMARCC2
IGSF8,1.51427751428057e-15,0.759072398814666,0.134,0.099,2.60395161355687e-11,IGSF8
