,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene_name
TMSB4X,4.93405651583447e-277,-3.13650057528547,0.985,1,8.48460358462895e-273,TMSB4X
UBA52,2.63229373431885e-270,-2.97132271400235,0.604,0.986,4.5264923055347e-266,UBA52
FAU,2.35457591673328e-253,-2.8752987511116,0.709,0.99,4.04892874641455e-249,FAU
DENND4A,1.26246255541294e-231,3.07774172356845,0.896,0.549,2.1709306102881e-227,DENND4A
RPL19,6.38583351480355e-229,-2.57092003036472,0.604,0.985,1.09810793120562e-224,RPL19
RPS24,1.81260438658087e-222,-2.85343543132388,0.545,0.983,3.11695450316447e-218,RPS24
RPS9,4.26116863745526e-221,-2.57622545574386,0.694,0.988,7.32750558896807e-217,RPS9
RPS19,3.05861531832239e-205,-2.70858317990167,0.597,0.988,5.25959490138718e-201,RPS19
TPT1,8.14777607083001e-202,-2.5576902407522,0.627,0.984,1.40109157313993e-197,TPT1
RPSA,2.73237088773389e-200,-2.77149464369694,0.709,0.993,4.69858497854721e-196,RPSA
RPS16,1.72528068637208e-189,-2.75984762526914,0.515,0.982,2.96679266828543e-185,RPS16
RPS5,1.60103940400894e-175,-2.86746049357623,0.463,0.978,2.75314735913378e-171,RPS5
RPL13,2.0302464106847e-175,-2.61643161295401,0.545,0.986,3.49121172781341e-171,RPL13
RPS11,1.58407227785531e-173,-2.8730907500919,0.485,0.981,2.72397068899999e-169,RPS11
CLCN3,3.61475270387359e-172,2.72098480319921,0.754,0.245,6.21592874958103e-168,CLCN3
MT-ATP8,1.90175359206369e-171,2.22593110675846,0.993,0.954,3.27025547691273e-167,MT-ATP8
RANBP2,2.43831459800672e-171,3.12736128949822,0.672,0.228,4.19292578273236e-167,RANBP2
MT-ND4L,6.35612344899907e-169,2.37767209320577,0.978,0.888,1.09299898828988e-164,MT-ND4L
RPL18A,1.10909114483846e-168,-2.57129249404819,0.507,0.982,1.90719313266422e-164,RPL18A
MT-CO3,7.89353699465203e-167,2.11725248515668,0.993,0.983,1.35737262160036e-162,MT-CO3
B2M,7.91217727867008e-161,-1.73044740312569,0.918,0.997,1.36057800484011e-156,B2M
RPL23,1.31212758798363e-158,-2.52640906837811,0.515,0.976,2.25633460029665e-154,RPL23
MT-CO1,5.16830688086162e-156,1.8644928468225,0.985,0.994,8.88742051232965e-152,MT-CO1
RPS10,1.20069303146719e-155,-2.62638387044147,0.433,0.98,2.06471173691098e-151,RPS10
MT-CYTB,7.84085290845591e-154,2.2543398588368,0.993,0.939,1.34831306613808e-149,MT-CYTB
RPS15A,2.17074614445735e-153,-2.60870351948133,0.448,0.974,3.73281507000885e-149,RPS15A
EEF1A1,4.50483326364113e-152,-1.7501457756276,0.851,0.993,7.74651128015729e-148,EEF1A1
ITGA4,3.65159244693715e-151,2.50970955141253,0.873,0.661,6.27927837175313e-147,ITGA4
RPS14,6.03692357546875e-149,-2.6626869214302,0.396,0.973,1.03810937803761e-144,RPS14
MT-CO2,1.70176688804032e-148,1.83701460042358,0.993,0.987,2.92635834067414e-144,MT-CO2
RPL9-PS6,4.55604786311128e-146,-2.74941155991999,0.343,0.972,7.83457990540616e-142,RPL9-PS6
RPL34,7.19223858873883e-145,-2.76456063032588,0.351,0.973,1.23677734771953e-140,RPL34
ADAM23,8.33691909047255e-144,2.38891859142093,0.858,0.555,1.43361660679766e-139,ADAM23
MT-ND2,3.86992081301289e-142,2.24235237841019,0.97,0.737,6.65471583005697e-138,MT-ND2
RPS20,1.81375161281676e-141,-2.48748353109749,0.552,0.979,3.11892727339971e-137,RPS20
RPS7,3.71741951545733e-141,-2.509520629985,0.463,0.976,6.39247459878043e-137,RPS7
RPLP0,1.57634096253264e-140,-2.5096785244829,0.56,0.98,2.71067591917113e-136,RPLP0
RPL11,5.86334316095044e-140,-2.38371762692417,0.5,0.978,1.00826048995704e-135,RPL11
RPL18,8.46413054206053e-140,-2.37986809774467,0.485,0.977,1.45549188801273e-135,RPL18
RPS27A,1.04834234623745e-139,-2.66314764745806,0.373,0.972,1.80272949858993e-135,RPS27A
RPL32,2.05939619588257e-139,-2.57425864119292,0.425,0.975,3.54133769843967e-135,RPL32
GM10076,7.45467643728515e-138,-2.56238115336821,0.381,0.972,1.28190616015555e-133,GM10076
MPEG1,1.28673979031762e-134,3.1163572627002,0.59,0.204,2.21267774343018e-130,MPEG1
MT-ND1,1.45656277047283e-133,2.20793917293244,0.978,0.828,2.50470534010507e-129,MT-ND1
MYO1E,2.38291822675454e-133,2.8330568431019,0.575,0.088,4.0976661827271e-129,MYO1E
UBB,1.40735332611831e-132,-2.35673486640183,0.649,0.988,2.42008477959305e-128,UBB
RPL30,1.0296929069957e-130,-2.69810210651569,0.358,0.972,1.77065992286981e-126,RPL30
RPS12,1.29750641015717e-129,-2.64813093260237,0.336,0.97,2.23119202290626e-125,RPS12
NUP98,1.37070226273616e-129,2.2260274573008,0.672,0.35,2.3570596110011e-125,NUP98
MT-ATP6,6.4039481775909e-129,1.87815130691175,0.948,0.875,1.10122292861853e-124,MT-ATP6
RPL26,8.26462928422361e-127,-2.45370372775493,0.388,0.969,1.42118565171509e-122,RPL26
RPL27,3.47108669031887e-126,-2.66933573282876,0.254,0.962,5.96888067267233e-122,RPL27
MT-ND4,1.93800598114983e-125,1.95426658150658,0.94,0.77,3.33259508518526e-121,MT-ND4
IQGAP1,3.2496124566948e-125,1.98234713427249,0.866,0.703,5.58803358053237e-121,IQGAP1
RPLP1,6.71802198191832e-125,-2.53293945152415,0.455,0.972,1.15523106001067e-120,RPLP1
RPS4X,1.70085446504435e-123,-2.28676358103238,0.515,0.977,2.92478933809027e-119,RPS4X
RPL10-PS3,3.12792971979443e-123,-2.57147557107839,0.403,0.967,5.37878794615851e-119,RPL10-PS3
RPL39,1.15651449464746e-122,-2.62330955497857,0.336,0.964,1.98874232499576e-118,RPL39
RPS23,6.21698964796165e-121,-2.32348175224343,0.448,0.97,1.06907353986349e-116,RPS23
MYADM,2.86773628710099e-119,2.20937047787164,0.612,0.276,4.93135931929886e-115,MYADM
RPS3,4.37893773820416e-118,-2.29013351745202,0.403,0.969,7.53002133461587e-114,RPS3
RPS3A1,8.9289185715435e-118,-2.21348443510478,0.515,0.977,1.53541683756262e-113,RPS3A1
EIF1,2.88582223046137e-115,-1.94909329453697,0.575,0.98,4.96245990750137e-111,EIF1
ACTB,4.5406135982057e-115,-1.82455169951384,1,1,7.80803914347452e-111,ACTB
RPL27A,1.36494969369926e-114,-2.35200836066024,0.373,0.967,2.34716749328525e-110,RPL27A
RPLP2,1.96168263336435e-114,-2.27553006517108,0.485,0.974,3.37330945633334e-110,RPLP2
RPS27,3.85246950314329e-114,-2.45499087542025,0.403,0.971,6.62470655760519e-110,RPS27
PFDN5,7.86172515951388e-114,-2.65326935546104,0.194,0.944,1.35190225843001e-109,PFDN5
RPL13A,1.72064371702105e-113,-2.3852919283546,0.321,0.963,2.9588189357894e-109,RPL13A
RPL24,1.93650413966829e-113,-2.18236279154958,0.44,0.97,3.33001251857359e-109,RPL24
MT-ND5,6.30672802020372e-113,1.88420728383657,0.896,0.714,1.08450495035423e-108,MT-ND5
RPS26,4.5221989302906e-112,-2.33082708114833,0.478,0.971,7.77637328052772e-108,RPS26
RPL7,3.57700125219576e-110,-2.36523008074333,0.246,0.953,6.15101135327583e-106,RPL7
SLC38A2,3.31058573058406e-108,2.05458795094144,0.769,0.557,5.69288322231234e-104,SLC38A2
EPRS,4.78108475268546e-108,2.79417908404041,0.515,0.249,8.22155334071793e-104,EPRS
RPL37,1.39804559353796e-105,-2.4098865013866,0.299,0.957,2.40407920264788e-101,RPL37
DOCK10,3.86999627267724e-105,1.84280326407623,0.843,0.708,6.65484559049577e-101,DOCK10
AHCYL2,1.46978264424057e-104,2.46150131581784,0.433,0.241,2.52743823503609e-100,AHCYL2
NRROS,6.22536085620154e-104,2.32114860736885,0.612,0.24,1.07051305283242e-99,NRROS
REL,1.16007272083244e-103,2.1664355700811,0.94,0.838,1.99486105074347e-99,REL
CDCP1,2.20328517451401e-102,2.28289909645841,0.448,0.093,3.78876918609429e-98,CDCP1
CD80,2.92216947008666e-102,2.42420896045166,0.5,0.173,5.02496262076102e-98,CD80
RPS29,6.17417223723788e-102,-2.30959491122415,0.216,0.941,1.06171065791543e-97,RPS29
RPL29,1.15919107019713e-101,-2.11430605677885,0.44,0.962,1.99334496431099e-97,RPL29
AFF4,1.62225548145836e-101,2.07451748401375,0.59,0.272,2.7896305259158e-97,AFF4
FTL1,6.79195654461597e-100,-2.16192161595075,0.769,0.985,1.16794484741216e-95,FTL1
AHCTF1,1.82154290435162e-99,2.06918421256985,0.545,0.249,3.13232517832305e-95,AHCTF1
RPL36,1.83243538025773e-99,-2.28288435196106,0.261,0.947,3.15105587989119e-95,RPL36
RPL35,3.73085387751776e-99,-2.23997718764195,0.403,0.955,6.41557632777954e-95,RPL35
RPS18,5.64153059585978e-99,-2.31947480827536,0.328,0.952,9.70117601264048e-95,RPS18
BTF3,7.29836040635073e-98,-2.29715506132246,0.216,0.933,1.25502605547607e-93,BTF3
H3F3A,9.90573030345739e-98,-2.28205883175809,0.41,0.961,1.70338938298253e-93,H3F3A
RPL37A,1.26468663405847e-97,-2.12699504725721,0.425,0.965,2.17475513592694e-93,RPL37A
LY75,1.25396220074698e-95,2.11323630914135,0.515,0.531,2.15631340040451e-91,LY75
AC149090.1,5.90840482202603e-94,1.97786496011969,0.582,0.369,1.0160092931956e-89,AC149090.1
NRXN1,3.98624491064126e-93,2.7120294921006,0.358,0.042,6.85474674833872e-89,NRXN1
RPL14,7.69292690122069e-93,-2.25733096977007,0.239,0.931,1.32287570993391e-88,RPL14
RPL22,7.88611701726008e-93,-2.16911407615249,0.284,0.941,1.35609668228804e-88,RPL22
MACF1,1.15280637438016e-92,2.12200829999727,0.515,0.198,1.98236584138413e-88,MACF1
COX4I1,1.20595834972351e-92,-2.06747452287303,0.336,0.948,2.07376597818454e-88,COX4I1
HSPA5,8.9855352394591e-92,1.88891632172299,0.791,0.646,1.54515263977739e-87,HSPA5
HUWE1,1.27249073657294e-91,1.83610668023855,0.657,0.415,2.18817507061082e-87,HUWE1
CHCHD2,2.54818320721554e-91,-2.2069753008394,0.313,0.945,4.38185584312784e-87,CHCHD2
SERF2,9.394911342395e-91,-2.1712564033635,0.291,0.938,1.61554895443824e-86,SERF2
UQCRH,6.38275363024911e-90,-2.2837640108444,0.142,0.896,1.09757831425764e-85,UQCRH
RPS13,1.55305250428078e-89,-2.02582559412991,0.336,0.95,2.67062908636122e-85,RPS13
RPS2,1.57875284911543e-89,-1.93418453739642,0.567,0.975,2.7148233993389e-85,RPS2
4932438A13RIK,3.00468426697929e-89,1.94254803041234,0.56,0.169,5.16685506549759e-85,4932438A13RIK
LYST,3.05081373226301e-89,1.95677060844562,0.739,0.416,5.24617929399948e-85,LYST
COX8A,5.59859935140961e-89,-2.10429755769114,0.179,0.911,9.62735144468396e-85,COX8A
LSP1,7.21161315060176e-89,-2.11542778741252,0.567,0.974,1.24010899737748e-84,LSP1
RPL7A,1.74239443308474e-88,-2.0070258221968,0.351,0.949,2.99622146713253e-84,RPL7A
FLVCR1,2.66114466584021e-88,2.04561124372622,0.56,0.22,4.57610436737882e-84,FLVCR1
RPL15,7.6830974660148e-88,-2.06859231464695,0.388,0.956,1.32118544025591e-83,RPL15
ATP5E,1.9387412710956e-87,-2.11894536152578,0.097,0.868,3.333859489776e-83,ATP5E
GLG1,1.97642739081593e-87,1.70307062037077,0.604,0.309,3.39866454124708e-83,GLG1
RPL28,3.14146306384653e-87,-2.04927411850019,0.448,0.96,5.4020598845905e-83,RPL28
PTPRC,3.3281364020893e-87,1.92664724297309,0.769,0.527,5.72306335703276e-83,PTPRC
RPL38,3.58431092096974e-87,-2.02819458127867,0.149,0.896,6.16358105969956e-83,RPL38
LCP1,7.26309352628266e-87,2.21578943458983,0.896,0.642,1.24896156277957e-82,LCP1
ATP5L,7.47120179099414e-87,-2.16779368204751,0.104,0.87,1.28474785997935e-82,ATP5L
KIF1B,1.77695490901633e-86,1.7761694475894,0.515,0.285,3.05565166154447e-82,KIF1B
RPL10A,5.20949208247468e-86,-2.18927190886269,0.321,0.939,8.95824258502346e-82,RPL10A
PSME2,2.46156991532137e-85,-2.26769105785096,0.507,0.967,4.23291562638663e-81,PSME2
CYTIP,6.76200465722766e-85,1.94367485184296,0.799,0.587,1.16279432085687e-80,CYTIP
RPS8,1.07172125663917e-84,-1.97641423621197,0.545,0.972,1.84293187291672e-80,RPS8
NID1,1.21913105715895e-84,2.53447216349748,0.545,0.128,2.09641776589054e-80,NID1
RPS21,8.8831713995395e-84,-1.96224896662805,0.299,0.938,1.52755015386481e-79,RPS21
PSME1,1.18948903642513e-83,-2.34550765594852,0.358,0.95,2.04544534703665e-79,PSME1
ATRX,1.04737283736708e-82,1.6155328903237,0.791,0.64,1.80106233113643e-78,ATRX
SLC38A1,1.04899984236974e-82,2.01346530491863,0.545,0.178,1.80386012893901e-78,SLC38A1
NACA,1.90007448320702e-82,-1.95646879188187,0.284,0.933,3.26736808132278e-78,NACA
PPIA,2.73071564160166e-82,-1.60845340770208,0.649,0.975,4.69573861729821e-78,PPIA
RPS28,3.26584840920889e-82,-2.18093891077589,0.142,0.877,5.6159529244756e-78,RPS28
ICOSL,5.42934791975887e-82,1.80156446715078,0.993,0.962,9.33630668281735e-78,ICOSL
TOP1,5.58636068361504e-82,1.58007227619792,0.59,0.492,9.60630583154442e-78,TOP1
COP1,1.1151289529862e-81,1.70856511077372,0.403,0.2,1.91757574755507e-77,COP1
PFN1,1.55886184840574e-81,-1.99930306151935,0.679,0.97,2.68061883451851e-77,PFN1
ANTXR2,3.06375161850457e-81,1.91878618636109,0.396,0.114,5.26842728318046e-77,ANTXR2
NFAT5,1.0591367181712e-80,1.80033622472201,0.731,0.507,1.8212915005672e-76,NFAT5
PLEK,1.24619306431432e-80,2.32705675616246,0.56,0.425,2.1429535933949e-76,PLEK
GGTA1,1.35290264982488e-80,1.86781447974078,0.396,0.141,2.32645139663886e-76,GGTA1
YTHDC1,2.49976137972819e-80,1.64754921725499,0.493,0.355,4.29858966858059e-76,YTHDC1
RPL17,2.77210154745371e-80,-1.89006430602535,0.179,0.894,4.76690582100141e-76,RPL17
CERS6,2.93806608702773e-80,1.96894318076901,0.716,0.465,5.05229844325288e-76,CERS6
CD52,3.93229309391402e-79,-2.45172108671236,0.201,0.897,6.76197120429456e-75,CD52
SPAG9,8.68911948333553e-79,1.64768216305061,0.567,0.359,1.49418098635438e-74,SPAG9
MAN1A,8.9411808380115e-79,1.61641984031851,0.552,0.378,1.53752545690446e-74,MAN1A
SH3BGRL3,1.01578183215923e-78,-1.98678528401883,0.366,0.945,1.74673843858101e-74,SH3BGRL3
RACK1,7.97259684607968e-78,-1.9787814723713,0.284,0.923,1.37096775365186e-73,RACK1
KIT,1.06180467811848e-77,2.05216042605136,0.47,0.113,1.82587932449254e-73,KIT
NPC1,1.8091579899647e-77,1.80028128436736,0.396,0.085,3.1110280795433e-73,NPC1
TMBIM6,2.87239314459454e-77,1.52011933255537,0.791,0.836,4.93936725144477e-73,TMBIM6
ATP5G2,6.19174561830342e-77,-1.86775784823919,0.187,0.89,1.06473257652346e-72,ATP5G2
CANX,4.15421376198967e-76,1.42427789378649,0.664,0.555,7.14358598511743e-72,CANX
RPL6,1.2803490993523e-75,-1.75972162319452,0.5,0.959,2.20168831124621e-71,RPL6
RPS6,2.4360751960227e-75,-1.77680316681824,0.343,0.94,4.18907490708064e-71,RPS6
ATOX1,3.45328349391964e-75,-2.20515388846378,0.164,0.87,5.93826629614422e-71,ATOX1
SLC41A1,6.41221810568846e-75,2.02185792895829,0.537,0.221,1.10264502545419e-70,SLC41A1
SPECC1,8.23796014249597e-75,1.79334135256127,0.515,0.332,1.41659962610361e-70,SPECC1
PLEKHG1,1.15764649474953e-74,1.73406503426309,0.507,0.169,1.9906889123713e-70,PLEKHG1
MARCKSL1,2.17577319106054e-74,-2.10708901330878,0.53,0.955,3.7414595793477e-70,MARCKSL1
FSCN1,5.47843123649403e-74,-2.55029945352433,0.604,0.961,9.42071035427513e-70,FSCN1
MKL1,9.12601377802039e-74,1.74830996515192,0.612,0.447,1.56930932926839e-69,MKL1
FRYL,1.03404718091264e-73,1.65737016630746,0.53,0.275,1.77814753229738e-69,FRYL
RPL21,2.01002110037343e-73,-1.65888651095543,0.328,0.936,3.45643228420215e-69,RPL21
PSMB8,7.18459949428085e-73,-2.05896619908413,0.358,0.932,1.23546372903653e-68,PSMB8
ETNK1,8.97180684848548e-73,1.70557429032111,0.5,0.282,1.54279190566556e-68,ETNK1
RPS15,1.20434457734965e-72,-1.83958534750845,0.157,0.862,2.07099093521045e-68,RPS15
NDEL1,2.50483625175515e-72,1.70654774870162,0.44,0.238,4.30731641851816e-68,NDEL1
EIF3F,4.41654135814854e-72,-1.7800394934829,0.336,0.933,7.59468451947223e-68,EIF3F
MYCBP2,6.95177186491034e-72,1.57716107972633,0.813,0.626,1.19542668988998e-67,MYCBP2
FNBP1,1.06754798744454e-71,1.61858700437635,0.627,0.401,1.83575551920964e-67,FNBP1
RPL8,2.30205960633857e-71,-1.74803553475552,0.53,0.959,3.95862169905981e-67,RPL8
HSP90AB1,4.10801038380599e-71,-1.56112369769489,0.746,0.988,7.06413465599277e-67,HSP90AB1
NRP2,5.61085156690147e-71,2.07190492542869,0.545,0.197,9.64842035444378e-67,NRP2
RALGAPA2,8.42689511297613e-71,1.8794753431615,0.44,0.116,1.44908888362738e-66,RALGAPA2
COLGALT1,1.1129835924869e-70,1.55935380350988,0.56,0.349,1.91388658564047e-66,COLGALT1
HSP90B1,1.21855704897946e-70,1.63374332934365,0.731,0.573,2.09543070142507e-66,HSP90B1
RPL35A,1.59900826774722e-70,-1.69919160191139,0.157,0.856,2.74965461721813e-66,RPL35A
ATP1A1,2.15924990389665e-70,1.83551991746589,0.537,0.325,3.71304613474068e-66,ATP1A1
JMJD1C,2.31551275027361e-70,1.71669144400875,0.575,0.274,3.9817557253705e-66,JMJD1C
GABARAP,3.58633393375682e-70,-1.87894345551951,0.351,0.924,6.16705983248823e-66,GABARAP
EEF1B2,3.66093332073993e-70,-1.90200932976377,0.276,0.908,6.29534093834438e-66,EEF1B2
UHRF2,4.39521475940781e-70,2.17061992878491,0.485,0.167,7.55801130027768e-66,UHRF2
COL17A1,5.03264075402754e-70,2.58850786517882,0.403,0.048,8.65412904062575e-66,COL17A1
DPP4,5.16692330785151e-70,1.65051844476865,0.552,0.396,8.88504132018146e-66,DPP4
TMEM131L,5.49367730071564e-70,1.64749466635937,0.672,0.493,9.44692748631061e-66,TMEM131L
TRA2A,1.68518992804298e-69,1.39733688794026,0.493,0.458,2.89785260026271e-65,TRA2A
BRK1,2.07607104983265e-69,-2.45432060964127,0.134,0.831,3.57001177729222e-65,BRK1
PIK3R1,6.23551465758331e-69,1.64398177316062,0.716,0.606,1.07225910051803e-64,PIK3R1
COX6B1,1.92374487047708e-68,-1.7711032459282,0.09,0.799,3.30807167927239e-64,COX6B1
MYL6,1.07609174605074e-67,-1.79619916902609,0.284,0.91,1.85044736650885e-63,MYL6
SUMO2,1.27835125069571e-67,-1.67044398938766,0.239,0.892,2.19825281069634e-63,SUMO2
HSPA8,1.58872604542752e-67,-1.59239852054407,0.746,0.984,2.73197330771717e-63,HSPA8
ISCU,1.66277813099757e-67,-1.93490589696861,0.291,0.905,2.85931327406343e-63,ISCU
FTH1,3.1630660911082e-67,-1.76496731396448,0.754,0.982,5.43920845026966e-63,FTH1
GCH1,3.25577709364085e-67,1.89985941151151,0.44,0.196,5.5986342902248e-63,GCH1
GNG5,5.46623507894181e-67,-1.62576227895483,0.164,0.849,9.39973784174834e-63,GNG5
SUB1,1.3220498356678e-66,-1.83923374490241,0.313,0.917,2.27339689741435e-62,SUB1
CHKA,2.29953444391422e-66,1.99316637031193,0.687,0.484,3.95427942975489e-62,CHKA
SLC1A5,3.86560480211218e-66,1.8311758436937,0.403,0.115,6.6472940177121e-62,SLC1A5
CELF2,6.94831665723389e-66,1.45585371577722,0.507,0.373,1.19483253237794e-61,CELF2
TNIP3,1.10989595124224e-65,2.46623342219,0.403,0.138,1.90857707775616e-61,TNIP3
SF3B1,1.1365738678997e-65,1.37376505405069,0.716,0.595,1.95445242324032e-61,SF3B1
IL6ST,1.2915152460357e-65,1.61882462886932,0.373,0.193,2.22088961708299e-61,IL6ST
H2AFZ,1.36196695646348e-65,-2.00092288796595,0.545,0.962,2.3420383783346e-61,H2AFZ
RPL36A,1.86729617039432e-65,-1.78809066346549,0.149,0.834,3.21100249461007e-61,RPL36A
SKIL,1.94049779685452e-65,1.65958730448402,0.53,0.335,3.33688001147103e-61,SKIL
SMG1,3.57235070059561e-65,1.51879196419698,0.582,0.346,6.14301426474421e-61,SMG1
FLNB,8.24062121071647e-65,1.86176579267194,0.485,0.223,1.4170572233948e-60,FLNB
DNMT3A,1.02084969058768e-64,1.67136890441864,0.5,0.186,1.75545312793457e-60,DNMT3A
ARL5B,1.16020377317743e-64,1.93060738114956,0.396,0.164,1.99508640835591e-60,ARL5B
RPS25,2.80079023259628e-64,-1.76081095586495,0.209,0.866,4.81623888397257e-60,RPS25
GLS,7.50753657546577e-64,1.80507023316899,0.463,0.212,1.29099598951709e-59,GLS
RPL5,9.30692340051676e-64,-1.61341045562611,0.291,0.903,1.60041854795286e-59,RPL5
LUC7L2,1.00434263087816e-63,1.34346427311622,0.604,0.507,1.72706758805808e-59,LUC7L2
ELOVL5,1.49484901204071e-63,1.64889054431102,0.388,0.182,2.5705423611052e-59,ELOVL5
RPL10,1.75547615323468e-63,-1.63176688284271,0.201,0.861,3.01871679310235e-59,RPL10
RPL12,2.7249158786822e-63,-1.90453281926916,0.187,0.849,4.68576534498191e-59,RPL12
CRIP1,2.98689397738872e-63,-2.79129979045803,0.455,0.927,5.13626288351765e-59,CRIP1
B3GALT1,4.29011130339343e-63,1.64482206500243,0.246,0.015,7.37727539731535e-59,B3GALT1
ZC3HAV1,4.49742467441265e-63,1.50131108901132,0.433,0.331,7.73377147012e-59,ZC3HAV1
SYNJ1,4.72805781911149e-63,1.39658140054785,0.425,0.262,8.13036822574412e-59,SYNJ1
MYL12B,9.73363129460819e-63,-1.60037526300629,0.209,0.862,1.67379523742082e-58,MYL12B
RPL9,1.48658407527963e-62,-1.62149214521343,0.216,0.865,2.55632997585086e-58,RPL9
CDC14A,1.92429642928661e-62,1.62473406231024,0.321,0.15,3.30902013980125e-58,CDC14A
RPL23A,4.24197973201807e-62,-1.56115313301873,0.216,0.865,7.29450834717827e-58,RPL23A
KPNA1,5.48806570122524e-62,1.49527344913721,0.261,0.114,9.43727777982693e-58,KPNA1
MYO5B,6.1890260478558e-62,1.82145923488575,0.351,0.066,1.06426491918928e-57,MYO5B
ST8SIA4,6.36733766389143e-62,1.92850559725141,0.47,0.336,1.09492738468277e-57,ST8SIA4
FUS,6.61043470770876e-62,1.32098718752207,0.694,0.643,1.1367303523376e-57,FUS
AHNAK,7.76612696458435e-62,1.85405085857323,0.567,0.328,1.33546319282992e-57,AHNAK
NECTIN1,2.34238737421544e-61,1.50311140637353,0.373,0.163,4.02796932870087e-57,NECTIN1
PRPF4B,2.43676915340684e-61,1.38909612574931,0.358,0.239,4.1902682361984e-57,PRPF4B
VAMP8,2.6034609583861e-61,-1.68341297574853,0.104,0.782,4.47691146404074e-57,VAMP8
CLK1,3.24631658506753e-61,1.36253865358106,0.612,0.495,5.58236599968212e-57,CLK1
VPS37B,3.67116692777715e-61,2.34158258323483,0.433,0.143,6.31293864900558e-57,VPS37B
SCAND1,5.15872002429365e-61,-1.99899835766792,0.075,0.753,8.87093495377535e-57,SCAND1
SEC61B,6.30949161928959e-61,-1.64355841484536,0.127,0.799,1.08498017885304e-56,SEC61B
RRBP1,1.39185030461063e-60,1.54078502800106,0.545,0.349,2.39342578380845e-56,RRBP1
CWC25,3.3938971163386e-60,1.82823207404568,0.351,0.136,5.83614548125586e-56,CWC25
PLSCR1,3.40497331419434e-60,1.62572786416773,0.545,0.429,5.85519211108858e-56,PLSCR1
KMT2E,3.82479945949392e-60,1.30114001849807,0.709,0.636,6.57712515054574e-56,KMT2E
UCP2,4.20836351005e-60,-1.85703980274363,0.284,0.885,7.23670189188198e-56,UCP2
PLXNC1,4.46702773502336e-60,1.27617248769332,0.701,0.645,7.68150089314617e-56,PLXNC1
BTAF1,7.0658523332219e-60,1.47689686635416,0.373,0.187,1.21504396722084e-55,BTAF1
UVRAG,1.5041673250005e-59,1.41763874502284,0.769,0.699,2.58656613207087e-55,UVRAG
ATP6AP1,1.83835104147731e-59,1.15379851236396,0.343,0.282,3.16122845092437e-55,ATP6AP1
NSA2,2.0276041525742e-59,-1.53529396331316,0.142,0.804,3.48666810076659e-55,NSA2
R3HDM1,3.42564098408539e-59,1.53577062613968,0.403,0.188,5.89073223623324e-55,R3HDM1
PCYT1A,4.89203352920196e-59,1.714104970021,0.403,0.15,8.41234085681569e-55,PCYT1A
TTYH3,5.02716246765959e-59,1.40690080356519,0.582,0.396,8.64470857938743e-55,TTYH3
COX6C,8.2439585896981e-59,-1.58156714449954,0.097,0.763,1.41763111908449e-54,COX6C
CHD2,8.73547111596104e-59,1.55852683104851,0.515,0.299,1.50215161310066e-54,CHD2
RUNX2,1.04262200761225e-58,1.433531360962,0.306,0.134,1.79289280429002e-54,RUNX2
SRRM2,1.04955615427736e-58,1.19877894639454,0.836,0.83,1.80481676289535e-54,SRRM2
FOSB,1.09361716404086e-58,1.71416902276262,0.761,0.507,1.88058407528467e-54,FOSB
CCNL1,1.56115969458588e-58,1.46054774273774,0.612,0.485,2.68457021080987e-54,CCNL1
EDF1,1.77873296296451e-58,-1.56874300990151,0.239,0.864,3.05870920311378e-54,EDF1
ATP5H,2.1575812445164e-58,-1.49606778345571,0.179,0.828,3.7101767080704e-54,ATP5H
CYP51,3.0812476838881e-58,1.55845042214374,0.41,0.338,5.29851351721397e-54,CYP51
JARID2,4.35152975715006e-58,1.58481316999331,0.313,0.088,7.48289057039524e-54,JARID2
XPR1,5.632246388332e-58,1.62042921955432,0.358,0.078,9.68521088937571e-54,XPR1
COX5B,6.8614817744186e-58,-1.47372589227817,0.201,0.841,1.17990040592902e-53,COX5B
RTN3,9.96994562301311e-58,1.03219872040595,0.418,0.437,1.71443184933334e-53,RTN3
PSMB9,1.29882648243454e-57,-1.77286862623927,0.209,0.844,2.23346201919444e-53,PSMB9
ARIH1,1.45040258953165e-57,1.42090338983721,0.366,0.192,2.49411229295863e-53,ARIH1
PHIP,3.73063266860253e-57,1.3312166126774,0.627,0.526,6.41519593692891e-53,PHIP
CNTN1,4.38473198148099e-57,1.86390906508471,0.299,0.058,7.53998511535471e-53,CNTN1
ELL2,5.92446527816142e-57,1.50087004574184,0.388,0.278,1.01877104923264e-52,ELL2
CDH2,7.29321311822305e-57,2.22409542808983,0.418,0.183,1.25414092780964e-52,CDH2
RTRAF,7.88617340383297e-57,-1.6153605184451,0.134,0.788,1.35610637852312e-52,RTRAF
P2RY10,1.13143660017713e-56,1.59698398358625,0.358,0.238,1.94561837766458e-52,P2RY10
CCNT1,1.56300886212545e-56,1.29002732501012,0.433,0.243,2.68775003931093e-52,CCNT1
ATP5C1,4.57053577743798e-56,-1.30419542977519,0.142,0.782,7.85949332288234e-52,ATP5C1
AW112010,6.77003192114792e-56,-3.27747145789948,0.194,0.807,1.1641746891606e-51,AW112010
PCBP2,7.30980762105254e-56,-1.49166728665411,0.373,0.918,1.2569945185162e-51,PCBP2
COQ10B,8.28205597925918e-56,1.33405474257363,0.575,0.474,1.42418234619341e-51,COQ10B
