,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene_name
TMEM164,1.03658207357195e-15,0.568316437332797,0.127,0.053,1.78250653371433e-11,TMEM164
SENP7,1.04485443798635e-15,0.499159452967498,0.157,0.132,1.79673169156132e-11,SENP7
RASSF2,1.04823633838425e-15,0.0463396403012288,0.291,0.498,1.80254720748556e-11,RASSF2
WDR83OS,1.05266371668884e-15,-0.250692049586648,0.052,0.244,1.81016052721813e-11,WDR83OS
ARL2BP,1.06505745427128e-15,0.204066154895061,0.09,0.172,1.8314727983649e-11,ARL2BP
EMC3,1.06712031765125e-15,0.194491377757361,0.172,0.259,1.83502009823309e-11,EMC3
TSC22D3,1.06740112261606e-15,-0.365995570628566,0.209,0.499,1.83550297045057e-11,TSC22D3
WRN,1.0679860213839e-15,0.182540598871639,0.119,0.211,1.83650876237176e-11,WRN
MFAP1B,1.08289690406306e-15,-0.0989396563880264,0.075,0.239,1.86214951622683e-11,MFAP1B
FBXO6,1.10495329340384e-15,-0.442742391987906,0.052,0.295,1.90007768333724e-11,FBXO6
BAZ1B,1.14310976081398e-15,0.364681001902598,0.194,0.243,1.96569154469571e-11,BAZ1B
BRD8,1.14323285345293e-15,0.536914858220557,0.149,0.138,1.96590321479766e-11,BRD8
BFAR,1.1601129872216e-15,0.128964261862128,0.09,0.203,1.99493029282626e-11,BFAR
TMEM109,1.17387142898385e-15,0.338136319451253,0.097,0.107,2.01858930928062e-11,TMEM109
MRPL23,1.20053523785068e-15,-0.514066993718792,0.015,0.242,2.06444039500803e-11,MRPL23
MFSD5,1.21052893139575e-15,0.299117589709478,0.067,0.103,2.08162555042813e-11,MFSD5
WWP1,1.21518176221225e-15,0.55773472849042,0.104,0.049,2.08962655830018e-11,WWP1
NSF,1.25374714327878e-15,0.385287615335727,0.112,0.12,2.15594358758219e-11,NSF
NAA35,1.25703611650088e-15,0.245545535571948,0.112,0.183,2.16159930593491e-11,NAA35
RRP1,1.25815031198889e-15,-0.193850656645756,0.119,0.329,2.1635152764961e-11,RRP1
GALNT12,1.26524370301627e-15,-0.554174091110044,0.03,0.273,2.17571307170678e-11,GALNT12
ISOC1,1.26691349034773e-15,-0.0764958302751692,0.09,0.253,2.17858443800196e-11,ISOC1
FAM107B,1.2713649897516e-15,-0.192979602383024,0.216,0.474,2.18623923637685e-11,FAM107B
PCNP,1.28053637201091e-15,-0.424192058109692,0.052,0.293,2.20201034530997e-11,PCNP
PEX19,1.28394807391486e-15,0.185951457031208,0.045,0.101,2.20787710790399e-11,PEX19
GAK,1.31397615633636e-15,0.526976922964868,0.157,0.144,2.259513398436e-11,GAK
MAP2K4,1.32965475542567e-15,0.475721523705784,0.112,0.104,2.28647431742998e-11,MAP2K4
LRP8,1.33543120970532e-15,0.609740495769511,0.112,0.042,2.29640750820927e-11,LRP8
OPA1,1.35698810805632e-15,0.613226730297112,0.157,0.092,2.33347675061365e-11,OPA1
UFM1,1.35850657032072e-15,-0.383373092854757,0.045,0.268,2.33608789832351e-11,UFM1
VASP,1.3586869034456e-15,-0.126936746734066,0.104,0.302,2.33639799916505e-11,VASP
ROCK2,1.36461176765698e-15,0.544720079075908,0.201,0.171,2.34658639566295e-11,ROCK2
ATXN7,1.37051037115925e-15,0.481018216211829,0.172,0.172,2.35672963424544e-11,ATXN7
TMEM41B,1.41899424618434e-15,0.476520576665162,0.127,0.097,2.44010250573859e-11,TMEM41B
CTDSP2,1.43397102349324e-15,0.28781423393646,0.097,0.138,2.46585657199898e-11,CTDSP2
BTF3L4,1.4370197397911e-15,-0.158800886617323,0.037,0.193,2.47109914454478e-11,BTF3L4
FAM168A,1.44487879504812e-15,0.448921820506167,0.142,0.13,2.48461357596476e-11,FAM168A
COA5,1.48166969112417e-15,-0.304686758931207,0.052,0.259,2.54787920085713e-11,COA5
FRMD4A,1.48212516597109e-15,0.0372209198531328,0.201,0.399,2.54866243540389e-11,FRMD4A
TMX1,1.48305121510578e-15,0.365545457412934,0.149,0.17,2.55025486949591e-11,TMX1
PSMD10,1.50462910362777e-15,-0.549377472218408,0.09,0.374,2.58736020659832e-11,PSMD10
PLP2,1.52564390802613e-15,0.343661493794527,0.149,0.211,2.62349726424174e-11,PLP2
SERINC3,1.53498950402587e-15,0.037187822057511,0.209,0.388,2.63956795112289e-11,SERINC3
PAPSS2,1.56387934074798e-15,0.00981495515802255,0.172,0.345,2.68924691435023e-11,PAPSS2
VPS41,1.57715440868882e-15,0.255328596104751,0.142,0.217,2.7120747211813e-11,VPS41
RNF34,1.59307880094496e-15,0.238343424206473,0.075,0.12,2.73945830610495e-11,RNF34
SF3A1,1.61571058133661e-15,0.180963212013141,0.09,0.183,2.77837591566644e-11,SF3A1
ARHGAP4,1.62875660327359e-15,0.593485454455187,0.104,0.051,2.80080985498926e-11,ARHGAP4
CREG1,1.63007265452645e-15,-0.596154364484954,0.269,0.603,2.80307293672368e-11,CREG1
ATP6V1E1,1.65143840274686e-15,-0.160632963064873,0.075,0.255,2.83981347736349e-11,ATP6V1E1
CBFB,1.67512870165312e-15,0.204462229050754,0.104,0.186,2.88055131536271e-11,CBFB
DNAJC10,1.69045797172445e-15,0.32487445458714,0.157,0.221,2.90691152817736e-11,DNAJC10
TIAL1,1.70931226524238e-15,0.0236554949265353,0.082,0.217,2.9393333713108e-11,TIAL1
MRPL34,1.71091031814439e-15,-0.379784244729933,0.015,0.211,2.9420813830811e-11,MRPL34
GBA,1.71831425828602e-15,0.120117785457524,0.104,0.197,2.95481319854864e-11,GBA
MICU2,1.72326737759288e-15,0.0183776288421169,0.112,0.258,2.96333058250871e-11,MICU2
SPSB1,1.74482681771381e-15,-0.518036278504829,0.127,0.419,3.00040419574066e-11,SPSB1
PHAX,1.76067112168058e-15,-0.397511055289006,0.037,0.261,3.02765006084192e-11,PHAX
PUS10,1.77428972322395e-15,0.334019207208235,0.134,0.187,3.05106860805591e-11,PUS10
CEP120,1.80147240083873e-15,0.474545950196941,0.112,0.102,3.09781194048228e-11,CEP120
TTC5,1.80435062481094e-15,0.30371624597996,0.097,0.155,3.1027613344249e-11,TTC5
TBC1D10A,1.80760697720038e-15,-0.34257843498175,0.082,0.319,3.10836095799377e-11,TBC1D10A
KPNB1,1.80910967822417e-15,0.161242274931062,0.119,0.216,3.11094500267428e-11,KPNB1
PCNA,1.81219814313511e-15,0.356101888319902,0.097,0.143,3.11625592693514e-11,PCNA
G3BP2,1.82190927859645e-15,-0.233346283506505,0.119,0.343,3.13295519547446e-11,G3BP2
ATAD1,1.82346781922184e-15,0.333430367359187,0.097,0.103,3.13563526193388e-11,ATAD1
CKAP5,1.83749266389185e-15,0.307176114435096,0.104,0.15,3.15975238482842e-11,CKAP5
ZBTB10,1.84695405699957e-15,0.507941495227509,0.134,0.119,3.17602219641646e-11,ZBTB10
PAM16,1.88240064044644e-15,-0.490189942175069,0.06,0.319,3.2369761413117e-11,PAM16
HDAC2,1.88420155450556e-15,-0.124830380408818,0.052,0.213,3.24007299312776e-11,HDAC2
GCN1L1,1.91852545525597e-15,0.478042039619907,0.104,0.101,3.29909637285817e-11,GCN1L1
