,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
320,1.30479286318622e-15,0.644683776695225,0.394,0.183,2.24372180753502e-11,0,PRG2
113,9.03484836823737e-28,0.642518700701647,0.369,0.128,1.5536325254021e-23,0,TMEM132C
60,3.13451947478596e-36,0.64230214569258,0.923,0.791,5.39011968884194e-32,0,BANF1
172,2.34744285576706e-22,0.638359236040614,0.593,0.377,4.03666273477703e-18,0,PACSIN2
338,3.35048429833629e-15,0.632488548993422,0.81,0.693,5.76149279941909e-11,0,EMP3
123,1.19139129156322e-26,0.631284731930427,0.387,0.14,2.04871646497211e-22,0,SLC25A37
162,4.29405450514534e-23,0.622229035395149,0.317,0.115,7.38405612704793e-19,0,MMAA
279,1.60657679037396e-16,0.620340024630641,0.525,0.312,2.76266944872706e-12,0,NPTX2
303,5.23959371409594e-16,0.618377997457238,0.672,0.569,9.01000535075938e-12,0,NFIL3
173,2.60878769760507e-22,0.614707329041002,0.425,0.177,4.48607132480168e-18,0,MEF2C
157,1.56167980439417e-23,0.61257849838657,0.894,0.759,2.68546459163622e-19,0,UAP1
236,4.46490889921459e-18,0.61248064007515,0.403,0.192,7.6778573430894e-14,0,PTPRO
195,1.3261807806014e-20,0.612392061187993,0.563,0.312,2.28050047032217e-16,0,GMFG
102,3.01594284471977e-29,0.611119804657746,0.853,0.666,5.18621531578012e-25,0,SET
152,6.14053464299343e-24,0.608919121134078,0.753,0.567,1.05592633720915e-19,0,ARL6IP5
205,9.73239806199264e-20,0.608164211853219,0.631,0.462,1.67358317074025e-15,0,EHD1
271,8.29324189446891e-17,0.603397216550165,0.437,0.21,1.42610587617287e-12,0,HAS2
277,1.38519676151258e-16,0.6014721599146,0.572,0.364,2.38198435109703e-12,0,PGLYRP1
183,7.70302028384919e-22,0.600595463289002,0.627,0.365,1.32461136801071e-17,0,CADM3
153,6.31363369246398e-24,0.598473576087901,0.464,0.229,1.08569244975611e-19,0,UBE2E2
79,1.90043841200434e-32,0.598135257668893,0.923,0.819,3.26799389328266e-28,0,LIMD2
222,1.43019616661478e-18,0.597981081342661,0.529,0.306,2.45936532811078e-14,0,I830077J02RIK
143,1.19107627168155e-24,0.597172204163416,0.602,0.465,2.0481747567836e-20,0,STX7
551,8.21082587899371e-11,0.594364467176158,0.206,0.087,1.41193361815176e-06,0,LPL
89,9.69853210583621e-31,0.591276935678189,0.948,0.867,1.6677595809196e-26,0,NEDD4
4313,1.10896582341725e-84,2.94732619017811,0.647,0.125,1.9069776299483e-80,1,CLU
4347,5.0464980596978e-60,2.83627571396799,0.474,0.088,8.67795806345633e-56,1,SELENOM
4307,3.87153477344619e-91,2.82365727793476,0.699,0.178,6.65749119641807e-87,1,ASPRV1
4367,3.03317087524012e-50,2.40229763689794,0.583,0.185,5.21584063706291e-46,1,CCL22
4306,2.10086507006526e-91,2.35282271921448,0.726,0.237,3.61264757448421e-87,1,ZMYND15
4295,5.25755999660856e-125,2.27338129670894,0.823,0.123,9.04090017016808e-121,1,EPCAM
4299,3.21991393589155e-113,2.12785909813124,0.838,0.185,5.53696400415911e-109,1,LAPTM4B
4300,3.23598938844653e-107,2.09056929502035,0.944,0.397,5.56460735237265e-103,1,TYROBP
4339,7.19203811417332e-62,2.08448831108418,0.846,0.475,1.23674287411324e-57,1,APOL7C
4308,3.31979522440826e-90,1.8795867192845,0.861,0.417,5.70871986789245e-86,1,GYG
4324,2.94843945941332e-71,1.81550455575442,0.695,0.196,5.07013649440714e-67,1,LAD1
4333,2.51567974314388e-66,1.75348173247805,0.842,0.512,4.32596288631022e-62,1,RNASET2A
4296,4.53644573767283e-124,1.74857853014582,0.996,0.775,7.80087209050221e-120,1,TSPAN3
4309,5.99925868961695e-90,1.73777614110518,0.838,0.304,1.03163252426653e-85,1,LY75
4310,2.48163029364082e-87,1.70602969479192,0.955,0.731,4.26741145294475e-83,1,CRIP1
4341,4.26390130472627e-61,1.67198919922866,0.684,0.203,7.3322046836073e-57,1,MX1
4344,1.09150001082009e-60,1.65571881038637,0.876,0.61,1.87694341860623e-56,1,TSPO
4303,3.39151374432046e-96,1.65459660867136,0.951,0.542,5.83204703473346e-92,1,CXCL16
4311,3.61081043825174e-85,1.64009793972053,0.891,0.353,6.2091496296177e-81,1,NUDT17
4293,4.94419643142934e-138,1.63974655409743,0.996,0.789,8.5020401834859e-134,1,BASP1
4312,4.89810740503826e-85,1.58762980081299,0.966,0.602,8.4227854937038e-81,1,BST2
4741,2.71214689297748e-18,1.58025232427519,0.278,0.138,4.66380779716407e-14,1,TNNI1
4294,3.02002504678286e-136,1.57165941278827,1,0.914,5.1932350704478e-132,1,LAMP1
4316,1.5706612904093e-80,1.56774498844124,0.812,0.284,2.70090915498783e-76,1,RHOC
4304,9.61900174860615e-94,1.53642841098774,1,1,1.65408354069031e-89,1,MALAT1
4330,9.23699840578927e-68,1.52482880021152,0.846,0.362,1.58839424585952e-63,1,IRF8
4314,1.8217777584408e-84,1.46916067248107,0.914,0.536,3.13272903341479e-80,1,SOCS2
4332,6.05370143805365e-67,1.46098368830247,0.846,0.392,1.04099449928771e-62,1,CREG1
4869,2.76996573253932e-15,1.45591829381697,0.271,0.135,4.76323307367462e-11,1,SERPINB1A
4326,2.01440665548494e-70,1.45177505895762,0.989,0.752,3.4639736847719e-66,1,CCR7
4298,1.98757689896984e-118,1.43828485748982,1,0.994,3.41783723546854e-114,1,FTL1
4351,5.76753584484999e-57,1.41851172967023,0.861,0.468,9.91785463880405e-53,1,CDKN1A
4323,7.32685099427252e-73,1.41301679105837,0.981,0.689,1.2599252969751e-68,1,CD63
4406,6.92728389950008e-40,1.41037649440784,0.921,0.706,1.19121573935803e-35,1,EPSTI1
4421,1.18330698603368e-37,1.40752047998732,0.68,0.376,2.03481469318351e-33,1,TNFRSF4
4327,2.19254592641155e-70,1.37755993477669,0.914,0.495,3.7703019750573e-66,1,SLAMF7
4329,8.25431393426016e-70,1.36469977095908,0.977,0.808,1.41941182413538e-65,1,1810043G02RIK
4394,1.03982518622155e-42,1.35957588756044,0.868,0.491,1.78808339022658e-38,1,ATF3
4319,2.08028459474545e-78,1.35029765367497,0.962,0.746,3.57725738912428e-74,1,ANXA3
4359,2.08866681233951e-52,1.34028911468734,0.726,0.288,3.59167145049901e-48,1,DAP
4364,1.38302481484067e-51,1.33587152181085,0.801,0.405,2.37824947160002e-47,1,ACTN1
4320,1.63772898217086e-76,1.3318623119972,0.583,0.065,2.816238757741e-72,1,AIF1L
4337,8.5141058960644e-63,1.32964313850203,0.883,0.399,1.46408564988723e-58,1,AC149090.1
4856,1.4538665672818e-15,1.32556614984576,0.523,0.276,2.50006894909778e-11,1,2610528A11RIK
4325,6.45192444640008e-71,1.30093975083953,0.914,0.517,1.10947292780296e-66,1,ITGB1
4348,4.61706439226051e-59,1.29578592597353,0.812,0.296,7.93950392893117e-55,1,MPEG1
4435,2.4201639865694e-34,1.29383092925654,0.722,0.455,4.16171399130475e-30,1,IDI1
4328,6.69426409690026e-70,1.2874670568406,0.88,0.483,1.15114565410297e-65,1,FNBP1
4387,2.12611116942093e-44,1.27745209966667,0.59,0.189,3.65606076693623e-40,1,CD44
4354,6.38174635229919e-55,1.26237592201574,0.541,0.1,1.09740510274137e-50,1,LIMA1
4302,1.19084067366921e-96,1.24670732365665,0.966,0.784,2.04776962244158e-92,1,SPINT2
4407,1.56057000041073e-39,1.22197010195779,0.692,0.428,2.6835561727063e-35,1,ENO3
4350,4.35162868703386e-57,1.21413713899895,0.838,0.474,7.48306069022343e-53,1,CSTB
4322,2.37367090726646e-76,1.21286371922106,0.947,0.77,4.08176449213541e-72,1,COX5A
4369,4.11827380632016e-50,1.19479315352846,0.774,0.31,7.08178363734815e-46,1,APOBEC1
4374,2.02000899972781e-49,1.19370005277258,0.801,0.415,3.47360747593194e-45,1,ADAM8
